#,Priority,Category,Segment,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,Additional Info (paste product facts here),Dan Murphy price
85,P2,Wine,,Petaluma Anova Cabernet Sauvignon,petaluma-anova-cabernet-sauvignon-01.jpg,petaluma-anova-cabernet-sauvignon-02.jpg,166.99,113.52,,
86,P2,Wine,,Petaluma Anova Chardonnay,petaluma-anova-chardonnay-01.jpg,petaluma-anova-chardonnay-02.jpg,166.99,113.52,,
87,P2,Wine,,Lacourte-Godbillon Rose Premier Cru (Pinot Noir) - Champagne France,lacourte-godbillon-rose-premier-cru-pinot-noir-champagne-france-01.jpg,lacourte-godbillon-rose-premier-cru-pinot-noir-champagne-france-02.jpg,164.99,112.2,,
88,P2,Wine,,Cloudy Bay Te Wahi,cloudy-bay-te-wahi-01.jpg,cloudy-bay-te-wahi-02.jpg,163.99,111.21,,
89,P2,Wine,,Eileen Hardy Shiraz V20,eileen-hardy-shiraz-v20-01.jpg,eileen-hardy-shiraz-v20-02.jpg,163.99,111.15,,
90,P2,Wine,,First Drop Fat Of the Land Seppeltsfield Shiraz 2021,first-drop-fat-of-the-land-seppeltsfield-shiraz-2021-01.jpg,first-drop-fat-of-the-land-seppeltsfield-shiraz-2021-02.jpg,156.99,106.42,,
91,P2,Wine,,Piombaia DOCG Brunello di Montalcino,piombaia-docg-brunello-di-montalcino-01.jpg,piombaia-docg-brunello-di-montalcino-02.jpg,154.99,105.24,,
92,P2,Wine,,Joseph Drouhin Cote de Beaune Blanc,joseph-drouhin-cote-de-beaune-blanc-01.jpg,joseph-drouhin-cote-de-beaune-blanc-02.jpg,154.99,115.5,,
93,P2,Wine,,Champagne Deutz Brut Rose,champagne-deutz-brut-rose-01.jpg,champagne-deutz-brut-rose-02.jpg,153.99,104.56,,
94,P2,Wine,,Hardys Eileen Hardy Chardonnay V21,hardys-eileen-hardy-chardonnay-v21-01.jpg,hardys-eileen-hardy-chardonnay-v21-02.jpg,152.99,104.06,,
95,P2,Wine,,Eileen Hardy Pinot Noir V21,eileen-hardy-pinot-noir-v21-01.jpg,eileen-hardy-pinot-noir-v21-02.jpg,150.99,102.88,,
96,P2,Wine,,Giboulot Beaune Clos du Roi 1er Cru,giboulot-beaune-clos-du-roi-1er-cru-01.jpg,giboulot-beaune-clos-du-roi-1er-cru-02.jpg,150.99,102.88,,
97,P2,Wine,,Penfolds St Henri Shiraz,penfolds-st-henri-shiraz-01.jpg,penfolds-st-henri-shiraz-02.jpg,149.99,101.65,,
98,P2,Wine,,Pol Roger Brut Non Vintage,pol-roger-brut-non-vintage-01.jpg,pol-roger-brut-non-vintage-02.jpg,149.99,102.21,,
99,P2,Wine,,Poggio Landi Brunello di Montalcino DOCG 2018,poggio-landi-brunello-di-montalcino-docg-2018-01.jpg,poggio-landi-brunello-di-montalcino-docg-2018-02.jpg,145.99,98.86,,
100,P2,Wine,,Cape Mentelle Heritage Cabernet Margaret River,cape-mentelle-heritage-cabernet-margaret-river-01.jpg,cape-mentelle-heritage-cabernet-margaret-river-02.jpg,143.99,97.91,,
101,P2,Wine,,Collet Rose,collet-rose-01.jpg,collet-rose-02.jpg,143.99,98.15,,
102,P2,Wine,,Cape Mentelle Heritage Chardonnay Margaret River,cape-mentelle-heritage-chardonnay-margaret-river-01.jpg,cape-mentelle-heritage-chardonnay-margaret-river-02.jpg,143.99,97.91,,
103,P2,Wine,,Champagne Laurent-Perrier la Cuvee,champagne-laurent-perrier-la-cuvee-01.jpg,champagne-laurent-perrier-la-cuvee-02.jpg,142.99,97.46,,
104,P2,Wine,,Xanadu Reserve Cabernet Sauvignon,xanadu-reserve-cabernet-sauvignon-01.jpg,xanadu-reserve-cabernet-sauvignon-02.jpg,142.99,96.96,,
105,P2,Wine,,Albert Bichot Gevrey Chambertin,albert-bichot-gevrey-chambertin-01.jpg,albert-bichot-gevrey-chambertin-02.jpg,138.99,94.36,,
106,P2,Wine,,San Polo Brunello di Montalcino DOCG Sangiovese Tuscany Italy 2017,san-polo-brunello-di-montalcino-docg-sangiovese-tuscany-italy-2017-01.jpg,san-polo-brunello-di-montalcino-docg-sangiovese-tuscany-italy-2017-02.jpg,137.99,93.5,,
107,P2,Wine,,House of Arras Vintage Rose,house-of-arras-vintage-rose-01.jpg,house-of-arras-vintage-rose-02.jpg,137.99,93.89,,
108,P2,Wine,,House of Arras Vintage Blanc de Blancs,house-of-arras-vintage-blanc-de-blancs-01.jpg,house-of-arras-vintage-blanc-de-blancs-02.jpg,137.99,93.89,,
109,P2,Wine,,Collet Art Deco Brut NV,collet-art-deco-brut-nv-01.jpg,collet-art-deco-brut-nv-02.jpg,135.99,92.23,,
110,P2,Wine,,Giovanni Rosso Barolo Serralunga d'Alba del Comune,giovanni-rosso-barolo-serralunga-d-alba-del-comune-01.jpg,giovanni-rosso-barolo-serralunga-d-alba-del-comune-02.jpg,135.99,92.36,,
