Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,VODKA,10,32,2.38%,FRIS VODKA MINI           50ML,997396,0088004047795,,core-extract,10.0,4.04,
,VODKA,11,13,2.12%,ABSOLUT VODKA MINS        50ML,594041,7312040017058,,core-extract,12.0,5.18,
,VODKA,12,9,1.95%,BELVEDERE VODKA          700ML,536718,5901867816641,,core-extract,6.0,62.61,YES
,VODKA,13,58,1.76%,GREENSIDE PREM TAS VODKA    1L,163858,,,,,,
,VODKA,14,12,1.75%,SMIRNOFF VODKA RED        MINS,593249,0082000724230,,core-extract,10.0,6.90,
,VODKA,15,10,1.74%,KETEL ONE VODKA          700ML,857180,8711566013701,,core-extract,6.0,50.77,YES
,VODKA,16,40,1.66%,TOVARITCH VODKA 37.5%       1L,574478,,,,,,
,VODKA,17,11,1.49%,VODKA O                  700ML,585136,9329982019901,,core-extract,12.0,38.49,YES
,VODKA,18,14,1.47%,FLYKA VODKA 37% 6S       700ML,439725,,,,,,
,VODKA,19,5,1.47%,GREY GOOSE VODKA         700ML,818403,,,,,,
,VODKA,20,16,1.46%,FRIS VODKA               700ML,54910,1210000101501,,core-extract,12.0,38.64,
,VODKA,21,18,1.27%,VODKA O 37.5%               1L,586190,9329982019888,,core-extract,6.0,54.02,
,VODKA,22,63,1.24%,PINK DOT VODKA           700ML,144341,9309000902675,,core-extract,6.0,30.08,
,VODKA,23,24,1.23%,AMPERSAND VODKA & 37.5% 500ML,996031,9354479000360,,core-extract,6.0,32.89,
,VODKA,24,53,1.21%,GREENSIDE TAS VODKA      700ML,830316,9358852002248,,core-extract,6.0,32.88,
,VODKA,25,17,1.20%,ABSOLUT VODKA VANILLA    700ML,528985,7312040350100,,core-extract,6.0,46.63,
,WHISKEY,1,1,14.86%,JAMESON IRISH WSKY       700ML,558299,5011007003005,,core-extract,6.0,52.65,
,WHISKEY,2,3,11.78%,FIREBALL CINN WHISKY MINI 50ML,352884,0088004144708,,core-extract,10.0,4.04,
,WHISKEY,3,2,9.06%,JAMESON IRISH WSKY          1L,590314,5011007003227,,core-extract,6.0,69.39,
,WHISKEY,4,4,6.96%,CANADIAN CLUB ORIG 37%      1L,760472,0080686816232,,core-extract,6.0,59.01,
,WHISKEY,5,6,6.94%,SHEEP DOG P/NUT BUT WHISK 50ML,241583,1210000101952,,core-extract,12.0,3.90,
,WHISKEY,6,5,6.72%,FIREBALL CINNAMON WHISKY 700ML,555157,0088004023492,,core-extract,6.0,45.37,
,WHISKEY,7,8,4.06%,SHEEP DOG P/BUTTER WHISK 700ML,240977,,,,,,
,WHISKEY,8,7,3.87%,CANADIAN CLUB ORIG 37%   700ML,560929,0080686816089,,core-extract,12.0,43.61,
,WHISKEY,9,9,3.47%,FIREBALL CINN WHISKY     200ML,603706,,,,,,
,WHISKEY,10,11,3.18%,SHEEP DOG P/NUT BUT WHISK200ML,241606,,,,,,
,WHISKEY,11,10,2.14%,SOUTHERN COMFORT 30%     700ML,653078,1210000100313,,core-extract,12.0,41.23,
,WHISKEY,12,14,1.49%,TOKI JAPANESE WHISKY     700ML,607690,4901777303553,,core-extract,6.0,62.13,
,WHISKEY,13,279,1.20%,J/WALKER BLACK 12YO VAP  700ML,282819,,,,,,
,WHISKEY,14,25,1.10%,JAMESON BLACK BARREL     700ML,642849,5011007025854,,core-extract,6.0,61.42,YES
,WHISKEY,15,26,1.09%,JAMESON IRISH WSKY MINS   50ML,596946,5011007003586,,core-extract,12.0,4.97,
,WHISKEY,16,126,1.06%,JAMESON IRISH WHISKEY6PK 200ML,230422,5011007003234,,core-extract,6.0,18.15,
,WHISKEY,17,16,1.04%,FIREBALL CINNAMON WHISKY    1L,663413,0088004144678,,core-extract,6.0,61.19,
,WHISKEY,18,17,0.99%,SOUTHERN COMFORT 30%        1L,652616,1210000100269,,core-extract,6.0,59.30,
,WHISKEY,19,15,0.96%,BOND SEVEN WHISKY        700ML,557780,9323594000494,,core-extract,6.0,44.57,
,WHISKEY,20,18,0.91%,STARWARD TWO-FOLD        700ML,44868,9346943000174,,core-extract,6.0,61.89,YES
,WHISKEY,21,21,0.89%,TULLAMORE DEW IRISH WHSKY700ML,754840,5011026108033,,core-extract,6.0,48.50,
,WHISKEY,22,279,0.78%,SHEEP DOG PBJ MINS        50ML,473211,1210000107435,,core-extract,10.0,4.05,
,WHISKEY,23,12,0.70%,SKREWBALL PNUT BTR WHSKY 750ML,615622,,,,,,
,WHISKEY,24,20,0.69%,DUBLINER IRISH WSKY LIQ  700ML,577175,5390424120428,,core-extract,6.0,51.03,YES
,WHISKEY,25,29,0.68%,HIBIKI WHISKY HARMONY   700ML,674715,0080686934035,,core-extract,3.0,166.66,
