Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,RUM DARK,9,8,2.12%,BUNDY RUM RED            700ML,659744,9311866008798,,core-extract,12.0,43.94,
,RUM DARK,10,113,2.00%,BUNDY DROP BEAR SP P/APP 700ML,405491,9310495092406,,core-extract,6.0,42.64,
,RUM DARK,11,19,1.84%,BUNDY RUM XF BOURBONBARL 700ML,214722,9310495091249,,core-extract,6.0,51.74,
,RUM DARK,12,9,1.77%,BUNDY SELECT VAT         700ML,558561,9310495075898,,core-extract,6.0,51.74,
,RUM DARK,13,12,1.77%,BUNDY RUM UP PET MINS     50ML,593998,9311866005094,,core-extract,12.0,6.65,
,RUM DARK,14,13,1.05%,MOUNT GAY ECLIPSE RUM    700ML,599897,9501007122500,,core-extract,6.0,52.18,
,RUM DARK,15,113,0.92%,BUNDY DROP BEAR SP P/A MIN50ML,437223,9310495092420,,core-extract,12.0,6.84,
,RUM DARK,16,15,0.88%,BUNDY RUM OP             700ML,997736,9311866005070,,core-extract,6.0,67.82,
,RUM DARK,17,17,0.79%,RATU SIGNATURE RUM  8YO 700ML,855793,9421901704711,,core-extract,6.0,62.81,
,RUM DARK,18,20,0.74%,BUMBU ORIGINAL RUM       700ML,454495,0813497006215,,core-extract,6.0,69.70,
,RUM DARK,19,113,0.73%,BUNDY MANGO SUNNY RUM37% 700ML,281729,,,,,,
,RUM DARK,20,21,0.65%,CAPT MORGAN BLK SPICED   700ML,885701,5000281033273,,core-extract,6.0,55.13,
,RUM DARK,21,22,0.63%,APPLETON EST SIG BLEND   700ML,425085,5024576189100,,core-extract,6.0,52.51,YES
,RUM DARK,22,18,0.63%,KRAKEN BLK CHERRY VANILLA700ML,650716,0818844028513,,core-extract,6.0,56.04,
,RUM DARK,23,25,0.61%,BUNDY RUM UP PET         375ML,596695,9311866005056,,core-extract,12.0,24.81,
,RUM DARK,24,23,0.57%,KRAKEN R/COFFEE SPICEDRUM700ML,132425,0818844025819,,core-extract,6.0,56.04,
,RUM DARK,25,113,0.56%,BACARDI SPICED RUM      N700ML,367708,7610113007518,,core-extract,6.0,44.77,
,RUM GOLD,1,1,35.93%,CAPT MORGAN SPICED GOLD     1L,417448,5000281039558,,core-extract,6.0,62.98,
,RUM GOLD,2,2,33.92%,CAPT MORGAN SPICE GLD AU 700ML,363369,5000281037011,,core-extract,6.0,45.12,
,RUM GOLD,3,3,20.21%,SAILOR JERRY SPICED RUM  700ML,563511,5010327405223,,core-extract,6.0,46.61,
,RUM GOLD,4,6,2.10%,SAILOR JERRY SPICD RUM      1L,551166,5010327453019,,core-extract,6.0,61.49,
,RUM GOLD,5,4,0.92%,BACARDI SPICED RUM       700ML,963350,,,,,,
,RUM GOLD,6,7,0.90%,SHIPMASTER GOLD UB          1L,906497,,,,,,
,RUM GOLD,7,9,0.75%,RATU SPICED RUM 5YO      700ML,846320,9421901704209,,core-extract,6.0,62.81,
,RUM GOLD,8,8,0.70%,KRAKEN SPICED RUM         50ML,612747,0811538013673,,core-extract,15.0,8.93,
,RUM GOLD,9,10,0.52%,BATI SPICED RUM 2YO 37.5 700ML,846299,9421901704698,,core-extract,6.0,48.03,
,RUM GOLD,10,5,0.47%,CAPT MORGAN TROP M&PINE  700ML,227246,,,,,,
,RUM GOLD,11,13,0.45%,BEENLEIGH SPICED RUM     700ML,904584,9332364009148,,core-extract,6.0,50.51,
,RUM GOLD,12,17,0.40%,RUSTY BARREL GOLD RUM    700ML,825293,9350321000427,,core-extract,6.0,61.49,
,RUM GOLD,13,21,0.38%,HAVANA CLUB ANEJO ES37.5%700ML,144561,8501110086196,,core-extract,6.0,53.92,
,RUM GOLD,14,12,0.32%,CAPT MORGAN TROP C&W/MEL 700ML,545995,,,,,,
,RUM GOLD,15,28,0.27%,CASA SPIRITS SPICED RUM  700ML,653882,,,,,,
,RUM GOLD,16,26,0.21%,RUSTY BARREL RUM GP GT   700ML,982448,9350321000632,,core-extract,3.0,101.97,
,RUM GOLD,17,11,0.20%,BACARDI OCHO             700ML,524826,,,,,,
,RUM GOLD,18,38,0.19%,HAVANA CLUB ESPECIAL 37.5%  1L,338982,8501110086219,,core-extract,6.0,70.74,
,RUM GOLD,19,38,0.15%,RUSTY BARREL GOLD RUM    200ML,336655,9350321000564,,core-extract,12.0,21.53,
,RUM GOLD,20,23,0.14%,HAVANA CLUB SPICED RUM 700ML,287872,,,,,,
,RUM GOLD,21,18,0.12%,ILLEGAL TENDER SPICED    700ML,395777,,,,,,
,RUM GOLD,22,38,0.10%,BURDEKIN RUM PREM ARUM   700ML,365887,,,,,,
,RUM GOLD,23,19,0.07%,REEFTIP SPICED RUM       700ML,452105,,,,,,
,RUM GOLD,24,16,0.07%,BACARDI RUM SPICED 35% NEW  1L,139524,,,,,,
,RUM GOLD,25,27,0.06%,BACARDI CARTA ORO GOLD BTL  1L,848050,,,,,,
,RUM WHITE,1,52,23.54%,BACARDI CARTA BLANCA       N1L,367517,5010677015806,,core-extract,6.0,72.28,
,RUM WHITE,2,52,18.90%,BACARDI CARTA BLANCA    N700ML,367627,5010677014205,,core-extract,12.0,49.36,YES
,RUM WHITE,3,1,12.11%,BACARDI CARTA BLANCA        1L,788292,,,,,,
,RUM WHITE,4,2,9.40%,BACARDI CARTA BLANCA     700ML,566137,,,,,,
