#,Priority,Category,Segment,ALM rank,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,ALM item code,Why this priority,Additional Info (paste product facts here),Dan Murphy price
376,P4,Spirits,SCOTCH,16,Johnnie Walker Black Label 1L,johnnie-walker-black-label-1l-01.jpg,johnnie-walker-black-label-1l-02.jpg,106.99,72.49,14384,ALM top-12 in its segment,,
361,P4,Spirits,BOURBON,14,Makers Mark Bourbon 1L,makers-mark-bourbon-1l-01.jpg,makers-mark-bourbon-1l-02.jpg,105.99,71.73,770951,ALM top-12 in its segment,,
362,P4,Spirits,TEQUILA,14,Jose Cuervo Esp Reposado Tequila 1L,jose-cuervo-esp-reposado-tequila-1l-01.jpg,jose-cuervo-esp-reposado-tequila-1l-02.jpg,105.99,71.89,586064,ALM top-12 in its segment,,
312,P4,Spirits,GIN,11,Tanqueray Gin 1L,tanqueray-gin-1l-01.jpg,tanqueray-gin-1l-02.jpg,104.99,71.13,583618,ALM top-12 in its segment,,
205,P3,Spirits,VODKA,4,Smirnoff Vodka Red 37% 1125mL,smirnoff-vodka-red-37-1125ml-01.jpg,smirnoff-vodka-red-37-1125ml-02.jpg,99.99,68.07,19664,ALM top-8 in its segment,,
369,P4,Spirits,GIN,15,Beefeater Gin 40% 1L,beefeater-gin-40-1l-01.jpg,beefeater-gin-40-1l-02.jpg,99.99,67.84,550021,ALM top-12 in its segment,,
370,P4,Spirits,TEQUILA,15,Teremana Tequilablanco40% 700mL,teremana-tequilablanco40-700ml-01.jpg,teremana-tequilablanco40-700ml-02.jpg,99.99,67.5,576789,ALM top-12 in its segment,,
298,P4,Spirits,OTHER SPIRITS,10,Hennessy VS Naked Bottle 700mL,hennessy-vs-naked-bottle-700ml-01.jpg,hennessy-vs-naked-bottle-700ml-02.jpg,97.99,66.31,14559,ALM top-12 in its segment,,
235,P3,Spirits,BOURBON,6,Wild Turkey 81 Proof 40.5% 1L,wild-turkey-81-proof-40-5-1l-01.jpg,wild-turkey-81-proof-40-5-1l-02.jpg,95.99,65.06,653201,ALM top-8 in its segment,,
328,P4,Spirits,BOURBON,12,Woodford Reserve Bourbon 700mL,woodford-reserve-bourbon-700ml-01.jpg,woodford-reserve-bourbon-700ml-02.jpg,95.99,65.3,798695,ALM top-12 in its segment,,
251,P3,Spirits,RUM DARK,7,Bundaberg Mdc Sml Batch 40% 700mL,bundaberg-mdc-sml-batch-40-700ml-01.jpg,bundaberg-mdc-sml-batch-40-700ml-02.jpg,93.99,63.9,94813,ALM top-8 in its segment,,
220,P3,Spirits,RUM DARK,5,Bundaberg Rum Red 1L,bundaberg-rum-red-1l-01.jpg,bundaberg-rum-red-1l-02.jpg,92.99,63.03,526514,ALM top-8 in its segment,,
252,P3,Spirits,RUM GOLD,7,Ratu Spiced Rum 5YO 700mL,ratu-spiced-rum-5yo-700ml-01.jpg,ratu-spiced-rum-5yo-700ml-02.jpg,92.99,62.81,846320,ALM top-8 in its segment,,
281,P4,Spirits,TEQUILA,9,Casamigos Blanco Tequila 40% 700mL,casamigos-blanco-tequila-40-700ml-01.jpg,casamigos-blanco-tequila-40-700ml-02.jpg,91.99,62.07,458897,ALM top-12 in its segment,,
