#,Priority,Category,Segment,ALM rank,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,ALM item code,Why this priority,Additional Info (paste product facts here),Dan Murphy price
321,P4,Wine,STILL RED,11,Elephant In Room Pinot Noir 750mL,elephant-in-room-pinot-noir-750ml-01.jpg,elephant-in-room-pinot-noir-750ml-02.jpg,15.99,10.66,793441,ALM top-12 in its segment,,
339,P4,Wine,STILL RED,12,St Hallett Faith Shiraz 750mL,st-hallett-faith-shiraz-750ml-01.jpg,st-hallett-faith-shiraz-750ml-02.jpg,15.99,10.75,521399,ALM top-12 in its segment,,
374,P4,Wine,WINE SPARKLING WHITE,15,Grant Burge Sparkling Petite Bubble 750mL,grant-burge-sparkling-petite-bubble-750ml-01.jpg,grant-burge-sparkling-petite-bubble-750ml-02.jpg,15.99,10.36,922249,ALM top-12 in its segment,,
243,P3,Wine,STILL WHITE,6,Stoneleigh Marlb S/Blanc 750mL,stoneleigh-marlb-s-blanc-750ml-01.jpg,stoneleigh-marlb-s-blanc-750ml-02.jpg,14.99,9.95,599392,ALM top-8 in its segment,,
262,P3,Wine,STILL ROSE,7,Jacobs Ck Lp Ros̩ 750mL,jacobs-ck-lp-rose-750ml-01.jpg,jacobs-ck-lp-rose-750ml-02.jpg,14.99,9.69,640994,ALM top-8 in its segment,,
263,P3,Wine,WINE OTHER,7,Penfolds Club Port 750mL,penfolds-club-port-750ml-01.jpg,penfolds-club-port-750ml-02.jpg,14.99,9.93,509614,ALM top-8 in its segment,,
352,P4,Wine,STILL RED,13,Tread Softly Pinot Noir 750mL,tread-softly-pinot-noir-750ml-01.jpg,tread-softly-pinot-noir-750ml-02.jpg,14.99,9.83,640973,ALM top-12 in its segment,,
366,P4,Wine,STILL ROSE,14,Bone Dry Ros̩ 750mL,bone-dry-rose-750ml-01.jpg,bone-dry-rose-750ml-02.jpg,14.99,9.99,218873,ALM top-12 in its segment,,
290,P4,Wine,WINE OTHER,9,Stones Ginger Wine 750mL,stones-ginger-wine-750ml-01.jpg,stones-ginger-wine-750ml-02.jpg,13.99,9.03,540296,ALM top-12 in its segment,,
353,P4,Wine,WINE OTHER,13,Divas Vkat Raspberry 700mL,divas-vkat-raspberry-700ml-01.jpg,divas-vkat-raspberry-700ml-02.jpg,13.99,9.49,188390,ALM top-12 in its segment,,
354,P4,Wine,WINE SPARKLING WHITE,13,Tempus Two Var Prosecco 750mL,tempus-two-var-prosecco-750ml-01.jpg,tempus-two-var-prosecco-750ml-02.jpg,13.99,9.53,748828,ALM top-12 in its segment,,
375,P4,Wine,STILL RED,15,19 Crimes Shiraz 750mL,19-crimes-shiraz-750ml-01.jpg,19-crimes-shiraz-750ml-02.jpg,12.99,8.55,524423,ALM top-12 in its segment,,
216,P3,Wine,SPARKLING ROSE,4,Jacobs Ck Sparkling Ros̩ 750mL,jacobs-ck-sparkling-rose-750ml-01.jpg,jacobs-ck-sparkling-rose-750ml-02.jpg,11.99,7.53,588414,ALM top-8 in its segment,,
244,P3,Wine,MOSCATO,6,Banrock Station Moscato Pink 1L,banrock-station-moscato-pink-1l-01.jpg,banrock-station-moscato-pink-1l-02.jpg,11.99,8.02,666649,ALM top-8 in its segment,,
306,P4,Wine,STILL WHITE,10,Jacobs Ck Sauvignon Blanc 750mL,jacobs-ck-sauvignon-blanc-750ml-01.jpg,jacobs-ck-sauvignon-blanc-750ml-02.jpg,11.99,7.56,760189,ALM top-12 in its segment,,
355,P4,Wine,MOSCATO,13,Jacobs Ck Sparkling Moscato White 750mL,jacobs-ck-sparkling-moscato-white-750ml-01.jpg,jacobs-ck-sparkling-moscato-white-750ml-02.jpg,11.99,7.53,505720,ALM top-12 in its segment,,
356,P4,Wine,SPARKLING RED,13,Stonegate Brut Cuvee 750mL,stonegate-brut-cuvee-750ml-01.jpg,stonegate-brut-cuvee-750ml-02.jpg,11.99,7.7,930721,ALM top-12 in its segment,,
357,P4,Wine,STILL WHITE,13,Houghton White Classic 750mL,houghton-white-classic-750ml-01.jpg,houghton-white-classic-750ml-02.jpg,11.99,7.92,526111,ALM top-12 in its segment,,
217,P3,Wine,STILL ROSE,4,Tatachilla Whit Adml Ros̩ 750mL,tatachilla-whit-adml-rose-750ml-01.jpg,tatachilla-whit-adml-rose-750ml-02.jpg,10.99,7.34,20542,ALM top-8 in its segment,,
218,P3,Wine,WINE SPARKLING WHITE,4,Yellowglen Yellow Sparkling 750mL,yellowglen-yellow-sparkling-750ml-01.jpg,yellowglen-yellow-sparkling-750ml-02.jpg,10.99,7.17,567442,ALM top-8 in its segment,,
229,P3,Wine,STILL RED,5,Hardys Vr Merlot 1L,hardys-vr-merlot-1l-01.jpg,hardys-vr-merlot-1l-02.jpg,10.99,6.91,534499,ALM top-8 in its segment,,
245,P3,Wine,STILL RED,6,Hardys Vr Cabernet Sauvignon 1L,hardys-vr-cabernet-sauvignon-1l-01.jpg,hardys-vr-cabernet-sauvignon-1l-02.jpg,10.99,6.91,534407,ALM top-8 in its segment,,
264,P3,Wine,STILL WHITE,7,Hardys Vr Chardonnay 1L,hardys-vr-chardonnay-1l-01.jpg,hardys-vr-chardonnay-1l-02.jpg,10.99,6.91,534871,ALM top-8 in its segment,,
291,P4,Wine,STILL WHITE,9,Tatachilla White Adml P/Gri 750mL,tatachilla-white-adml-p-gri-750ml-01.jpg,tatachilla-white-adml-p-gri-750ml-02.jpg,10.99,7.34,20916,ALM top-12 in its segment,,
307,P4,Wine,STILL ROSE,10,Hardys Vr Ros̩ 1L,hardys-vr-rose-1l-01.jpg,hardys-vr-rose-1l-02.jpg,10.99,6.91,224065,ALM top-12 in its segment,,
322,P4,Wine,WINE SPARKLING WHITE,11,Yellowtail Bubbles 750mL,yellowtail-bubbles-750ml-01.jpg,yellowtail-bubbles-750ml-02.jpg,10.99,7.35,775396,ALM top-12 in its segment,,
230,P3,Wine,WINE SPARKLING WHITE,5,Wolf Blass Red Label Chardonnay Pnt 750mL,wolf-blass-red-label-chardonnay-pnt-750ml-01.jpg,wolf-blass-red-label-chardonnay-pnt-750ml-02.jpg,8.99,6.05,542840,ALM top-8 in its segment,,
265,P3,Wine,SPARKLING ROSE,7,Passion Pop Mixed Berry 750mL,passion-pop-mixed-berry-750ml-01.jpg,passion-pop-mixed-berry-750ml-02.jpg,8.99,5.9,585830,ALM top-8 in its segment,,
280,P3,Wine,WINE OTHER,8,Mcw Rr Tawny 750mL,mcw-rr-tawny-750ml-01.jpg,mcw-rr-tawny-750ml-02.jpg,8.99,6.02,509096,ALM top-8 in its segment,,
340,P4,Wine,MOSCATO,12,Vivo Moscato 750mL,vivo-moscato-750ml-01.jpg,vivo-moscato-750ml-02.jpg,8.99,5.77,608201,ALM top-12 in its segment,,
341,P4,Wine,STILL WHITE,12,Lind B95 Sauvignon Blanc 750mL,lind-b95-sauvignon-blanc-750ml-01.jpg,lind-b95-sauvignon-blanc-750ml-02.jpg,8.99,5.69,530550,ALM top-12 in its segment,,
342,P4,Wine,WINE OTHER,12,Richland Limoncello Sptz 750mL,richland-limoncello-sptz-750ml-01.jpg,richland-limoncello-sptz-750ml-02.jpg,8.99,6.07,221635,ALM top-12 in its segment,,
343,P4,Wine,WINE SPARKLING WHITE,12,Passion Pop Original 750mL,passion-pop-original-750ml-01.jpg,passion-pop-original-750ml-02.jpg,8.99,5.9,541585,ALM top-12 in its segment,,
231,P3,Wine,MOSCATO,5,Gossips Swtlips Moscato 750mL,gossips-swtlips-moscato-750ml-01.jpg,gossips-swtlips-moscato-750ml-02.jpg,7.99,4.8,826008,ALM top-8 in its segment,,
292,P4,Rtds,RTD'S,9,Jack Daniel's and Cola Can 375mL,jack-daniel-s-and-cola-can-375ml-01.jpg,jack-daniel-s-and-cola-can-375ml-02.jpg,6.77,5.21,570932,ALM top-12 in its segment,,
308,P4,Rtds,RTD'S,10,Hard Rated Lemon 4.5% 375mL,hard-rated-lemon-4-5-375ml-01.jpg,hard-rated-lemon-4-5-375ml-02.jpg,5.85,4.5,562785,ALM top-12 in its segment,,
