Group,ALM description,ALM item code,Carton,Cost/btl,Price @25% GP,GP %,Range? (y/n)
Red,CHIANTI CLASSICO RISERVA DOCG 750ML,30908301,6,54.94,73.99,25.8,
Red,YALUMBA SIGNATURE CAB SHZ750ML,543008,6,52.57,70.99,26.0,
Red,PETALUMA YL SHIRAZ 750ML,31305263,6,52.03,69.99,25.7,
Red,CHATEAU GALETEAU CUVEE ELEONORE SAINT EMILION GRAND CRU 2022 750ML,31354783,6,51.32,68.99,25.6,
Red,PODERE CASANOVA DOCG CHIANTI CLASSICO 750ML,30981244,12,50.85,67.99,25.2,
Red,HENTLEY FARM QUINT SHIRAZ 750ML,31495440,6,48.01,64.99,26.1,
Red,CAPE MENTELLE ZINFANDEL MARGARET RIVER 750ML,500262,6,47.06,62.99,25.3,
Red,HENSCHKE KEYNETON ESTATE 750ML,511653,6,46.51,62.99,26.2,
Red,BANFI DOCG CHIANTI CLASSICO RISERVA 750ML,30840642,6,46.12,61.99,25.6,
Red,DONNE FITTPALDI BOLGHERI RUSSO 750ML,30934116,6,44.00,58.99,25.4,
Red,GREYWACKE PINOT NOIR MARLBOROUGH NEW ZEALAND 750ML,30829727,12,43.95,58.99,25.5,
Red,JOSEPH DROUHIN LAFORET BOURGOGNE PINOT NOIR 750ML,31347906,6,43.89,58.99,25.6,
Red,CHIAPPINI DOC BOLGHERI ROSSO FERRUGGINI 750ML,30838386,6,43.75,58.99,25.8,
Red,JIM BARRY MCRAE SHIRAZ   750ML,543595,6,42.37,56.99,25.7,
Red,CAPE MENTELLE WALLCLIFFE CABERNET FRANC 750ML,31494656,6,42.33,56.99,25.7,
Red,VILLEBOIS SANCERRE ROUGE 750ML,31497379,6,42.33,56.99,25.7,
Red,TORBRECK STRUIE 750ML,30809955,6,41.03,54.99,25.4,
Red,CHIANTI CLASSICO DOCG 750ML,30908296,6,39.45,52.99,25.6,
Red,VASSE FELIX CAB SAUV     750ML,525204,6,39.07,52.99,26.3,
Red,BANFI DOCG CHIANTI CLASSICO 750ML,30840650,6,36.66,48.99,25.2,
Red,JOSEPH DROUHIN MORGON 750ML,31347914,6,36.30,48.99,25.9,
Red,PENFOLDS BIN 28 SHZ 24   750ML,525136,6,36.10,48.99,26.3,
Red,POGGIO DEI SALICI CHIANTI CLASSICO DOCG 750ML,30828226,6,35.48,47.99,26.1,
Red,KILIKANOON COVENANT SHIRAZ 750ML,31398834,12,35.48,47.99,26.1,
Rosé,ESCLANS GARRUS 750ML,30817958,6,230.20,306.99,25.0,
Rosé,ARRAS VINTAGE ROSE 750ML,266355,6,93.89,125.99,25.5,
Rosé,ESCLANS ROCK ANGEL 750ML,30817940,6,60.65,80.99,25.1,
Rosé,MINUTY ROSE OR 750ML,30817932,6,50.61,67.99,25.6,
Rosé,PEYRASSOL CHATEAU ROSE 750ML,31263275,6,48.01,64.99,26.1,
Sparkling,R DE RUINART BRUT        750ML,575220,6,125.44,167.99,25.3,
Sparkling,ARRAS VINTAGEBLANCDEBLANC750ML,574559,6,93.89,125.99,25.5,
Sparkling,AYALA BRUT MAJEUR NV 750ML,31308960,6,86.56,115.99,25.4,
Sparkling rosé,BOLLINGER ROSE NV GB     750ML,728242,6,134.81,179.99,25.1,
Sparkling rosé,CHAMPAGNE DEUTZ BRUT ROSE750ML,532683,6,104.56,139.99,25.3,
Sparkling rosé,COLLET ROSE 750ML,31357147,6,98.15,130.99,25.1,
Sparkling rosé,ARRAS BRUT ELITE ROSE 750ML,447485,6,46.83,62.99,25.7,
White,JOSEPH DROUHIN COTE DE BEAUNE BLANC 750ML,31347875,6,115.50,154.99,25.5,
White,PETALUMA ANOVA CHARDONNAY 750ML,31305247,6,113.52,151.99,25.3,
White,HARDYS EILEEN HARDY CHARDONNAY V21 750ML,31312846,6,104.06,138.99,25.1,
White,CAPE MENTELLE HERITAGE CHARDONNAY MARGARET RIVER 750ML,31494591,6,97.91,130.99,25.3,
White,JF MOREAU PREMIER CRU MONT DE MILIEU 2021 750ML,31357448,12,91.64,122.99,25.5,
White,XANADU RESERVE CHARDONNAY 750ML,31497612,6,90.34,120.99,25.3,
White,OAKRIDGE 864 CHARDONNAY DRIVE BLOCK 750ML,31496323,6,86.09,114.99,25.1,
White,OAKRIDGE 864 HENK CHARDONNAY 750ML,31496331,6,86.09,114.99,25.1,
