Range? (y/n),Brand,ALM description,Category,Supplier,ALM item code,Barcode (GTIN),Carton size,Unit cost ex GST,Retail @25% GP ex GST,On promo,Notes
,BURGE,G/BURGE B/MK CAB SAUV    750ML,WINE STILL RED,VINARCHY AUSTRALIA,572387,9315705011406,12,8.47,12.99,,
,BURGE,G/BURGE B/MK MERLOT      750ML,WINE STILL RED,VINARCHY AUSTRALIA,541611,9315705011505,12,8.47,12.99,,
,BURGE,G/BURGE B/MK SHIRAZ      750ML,WINE STILL RED,VINARCHY AUSTRALIA,668573,9315705011208,12,8.47,12.99,,
,MCGUIGAN,MCGUIGAN S/BATCH SHIRAZ  750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,304145,9310415017458,6,8.40,12.99,Y,
,MCGUIGAN,MCGUIGAN S/BATCH MALBEC 750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,481748,9310415018868,6,8.40,12.99,Y,
,MCGUIGAN,MCGUIGAN S/BATCH CAB SAU750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,304027,9310415017410,6,8.40,12.99,Y,
,MCGUIGAN,MCGUIGAN S/BATCH P/NOIR  750ML,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,760919,9310415017984,6,8.40,12.99,Y,
,ZILZIE,ZILZIE S23 MERLOT        750ML,WINE STILL RED,ZILZIE WINES PTY LTD,826634,9329337001285,12,7.87,11.99,Y,
,ZILZIE,ZILZIE S23 SHIRAZ        750ML,WINE STILL RED,ZILZIE WINES PTY LTD,826642,9329337001308,12,7.87,11.99,Y,
,ZILZIE,ZILZIE S23 PINOT NOIR    750ML,WINE STILL RED,ZILZIE WINES PTY LTD,296902,9329337001025,12,7.87,11.99,Y,
,ZILZIE,ZILZIE S23 CAB/SAUV      750ML,WINE STILL RED,ZILZIE WINES PTY LTD,148426,9329337001292,12,7.87,11.99,Y,
,MCGUIGAN,MCGUIGAN BLK LBL RED        1L,WINE STILL RED,AUSTRALIAN VINTAGE-DOMEST,434720,9311471001597,6,7.81,11.99,Y,
,ST,STUDIO SERIES MERLOT     750ML,WINE STILL RED,VINTAGE HOUSE WINE & SPIR,575144,9300694344543,12,7.70,11.99,,
,ST,STUDIO SERIES CAB SAUV   750ML,WINE STILL RED,VINTAGE HOUSE WINE & SPIR,751114,9300694348848,12,7.70,11.99,,
,ST,STUDIO SERIES SHIRAZ     750ML,WINE STILL RED,VINTAGE HOUSE WINE & SPIR,151424,9300694359745,12,7.70,11.99,,
,TE,WHITE CLOUD MARLB P/NOIR 750ML,WINE STILL RED,MEDITRINA BEVERAGES PL,466900,9313748034468,12,7.66,11.99,Y,
,JACOBS,JACOBS CK CAB MERLOT     750ML,WINE STILL RED,VINARCHY AUSTRALIA,536336,9311043403521,12,7.56,11.99,Y,
