Title,Cost,Old price,New price,Change,New GP% (ex-GST)
Veuve Clicquot Rose Reserve,147.04,196.99,215.99,+19.00,25.1
Tenuta Meraviglia Rosso Bolgheri Superiore 2018,143.79,191.99,210.99,+19.00,25.0
Bollinger Rose NV,134.81,179.99,197.99,+18.00,25.1
Dow's 30 Year Old Tawny Port,133.97,178.99,196.99,+18.00,25.2
Marziano Abbona DOCG Barolo,130.90,174.99,191.99,+17.00,25.0
Fontanafredda Vigna la Rosa Barolo DOCG Italy,130.28,173.99,191.99,+18.00,25.4
Champagne Deutz Brut Rose NV,126.81,169.99,185.99,+16.00,25.0
Wynns Riddoch Cabernet Sauvignon,125.89,167.99,184.99,+17.00,25.1
R de Ruinart Brut,125.44,167.99,183.99,+16.00,25.0
Collet Vintage 2014,122.98,163.99,180.99,+17.00,25.3
Donne Fittipaldi Malaroja Malbec Super Tuscan,119.90,159.99,175.99,+16.00,25.1
Moët & Chandon Vintage,117.57,156.99,172.99,+16.00,25.2
Fontanafredda Barolo Proprieta DOCG Italy,115.80,154.99,169.99,+15.00,25.1
Petaluma Anova Cabernet Sauvignon,113.52,151.99,166.99,+15.00,25.2
Petaluma Anova Chardonnay,113.52,151.99,166.99,+15.00,25.2
Lacourte-Godbillon Rose Premier Cru (Pinot Noir) - Champagne France,112.20,149.99,164.99,+15.00,25.2
Cloudy Bay Te Wahi,111.21,148.99,163.99,+15.00,25.4
Eileen Hardy Shiraz V20,111.15,148.99,163.99,+15.00,25.4
First Drop Fat Of the Land Seppeltsfield Shiraz 2021,106.42,141.99,156.99,+15.00,25.4
Piombaia DOCG Brunello di Montalcino,105.24,140.99,154.99,+14.00,25.3
Champagne Deutz Brut Rose,104.56,139.99,153.99,+14.00,25.3
Hardys Eileen Hardy Chardonnay V21,104.06,138.99,152.99,+14.00,25.2
Eileen Hardy Pinot Noir V21,102.88,137.99,150.99,+13.00,25.0
Giboulot Beaune Clos du Roi 1er Cru,102.88,137.99,150.99,+13.00,25.0
Penfolds St Henri Shiraz,101.65,135.99,149.99,+14.00,25.5
Pol Roger Brut Non Vintage,102.21,136.99,149.99,+13.00,25.0
Poggio Landi Brunello di Montalcino DOCG 2018,98.86,131.99,145.99,+14.00,25.5
Cape Mentelle Heritage Cabernet Margaret River,97.91,130.99,143.99,+13.00,25.2
Collet Rose,98.15,130.99,143.99,+13.00,25.0
Cape Mentelle Heritage Chardonnay Margaret River,97.91,130.99,143.99,+13.00,25.2
Champagne Laurent-Perrier la Cuvee,97.46,129.99,142.99,+13.00,25.0
Xanadu Reserve Cabernet Sauvignon,96.96,129.99,142.99,+13.00,25.4
Albert Bichot Gevrey Chambertin,94.36,125.99,138.99,+13.00,25.3
San Polo Brunello di Montalcino DOCG Sangiovese Tuscany Italy 2017,93.50,124.99,137.99,+13.00,25.5
House of Arras Vintage Rose,93.89,125.99,137.99,+12.00,25.2
House of Arras Vintage Blanc de Blancs,93.89,125.99,137.99,+12.00,25.2
Collet Art Deco Brut NV,92.23,122.99,135.99,+13.00,25.4
Giovanni Rosso Barolo Serralunga d'Alba del Comune,92.36,123.99,135.99,+12.00,25.3
Jf Moreau Premier Cru Mont de Milieu 2021,91.64,122.99,134.99,+12.00,25.3
Marziano Abbona Barbaresco DOCG,91.30,121.99,133.99,+12.00,25.0
Xanadu Reserve Chardonnay,90.34,120.99,132.99,+12.00,25.3
Oakridge 864 Chardonnay,86.09,114.99,126.99,+12.00,25.4
Moët & Chandon Rosé,86.37,115.99,126.99,+11.00,25.2
Taittinger NV Brut,85.91,114.99,126.99,+12.00,25.6
Ayala Brut Majeur NV,86.56,115.99,126.99,+11.00,25.0
Oakridge 864 Henk Chardonnay,86.09,114.99,126.99,+12.00,25.4
Diego Rivetti Barolo Elda 2022,85.80,114.99,125.99,+11.00,25.1
Jean Michel Giboulot Savigny Les Beaune Aux Fournaux 1er Cru 2018,84.43,112.99,123.99,+11.00,25.1
