Product,Our cost,Why it could not be written automatically,ALM candidate 1,ALM candidate 2,ALM candidate 3,Barcode (FILL from bottle or ALM portal)
Joseph Drouhin Chablis,38.39,several ALM rows match cost+name,JOSEPH DROUHIN LAFORET BOURGOGNE CHARDONNAY 750ML,JOSEPH DROUHIN CHABLIS 750ML,,
Joseph Drouhin Cote de Beaune Blanc,115.5,matched 31347875 but no APN on file,JOSEPH DROUHIN COTE DE BEAUNE BLANC 750ML,,,
Joseph Drouhin Gevrey Chambertin,259.68,matched 31057014 but no APN on file,JOSEPH DROUHIN GEVREY CHAMBERTIN 750ML,,,
Joseph Drouhin Laforet Bourgogne Chardonnay,38.39,several ALM rows match cost+name,JOSEPH DROUHIN LAFORET BOURGOGNE CHARDONNAY 750ML,JOSEPH DROUHIN CHABLIS 750ML,,
Joseph Drouhin Laforet Bourgogne Pinot Noir,43.89,matched 31347906 but no APN on file,JOSEPH DROUHIN LAFORET BOURGOGNE PINOT NOIR 750ML,,,
Joseph Drouhin Morgon,36.3,matched 31347914 but no APN on file,JOSEPH DROUHIN MORGON 750ML,,,
Kaesler Old Bastard Shiraz,249.98,matched 31257135 but no APN on file,KAESLER OLD BASTARD SHIRAZ 750ML,,,
Karu Lightning Gin,78.1,cost matched but name did not,ABELE 1757 BRUT NV 750ML,LIBATION MOMENT NO.01 2023 SHIRAZ 750ML,,
Katnook Estate Merlot,34.91,several ALM rows match cost+name,KATNOOK ESTATE SHIRAZ V21 750ML,KATNOOK ESTATE MERLOT 750ML,KATNOOK ESTATE CABERNET V21 750ML,
Kilikanoon Attunga 1865 Shiraz 2016,206.94,matched 31354652 but no APN on file,KILIKANOON ATTUNGA 1865 SHIRAZ 2016 750ML,,,
Kilikanoon Covenant Shiraz,35.48,matched 31398834 but no APN on file,KILIKANOON COVENANT SHIRAZ 750ML,,,
Kilikanoon Mort's Reserve Riesling 2024,41.39,several ALM rows match cost+name,KILIKANOON MORT'S RESERVE RIESLING 2024 750ML,KILIKANOON MORT'S RESERVE RIESLING 2023 750ML,,
Kilikanoon Tregea Cabernet Sauvignon 2018,73.31,matched 31354660 but no APN on file,KILIKANOON TREGEA CABERNET SAUVIGNON 2018 750ML,,,
King Valley Brown Brothers Prosecco NV,10.59,cost matched but name did not,MIRACLE OTW PINOT GRIS   750ML,MIRACLE OTW CAB SAUV     750ML,MIRACLE OTW MERLOT       750ML,
Krug Vintage,670.07,matched 30817893 but no APN on file,KRUG VINTAGE GB 750ML,,,
La Chablisienne Lapierele Chablis,41.86,matched 31495872 but no APN on file,LA CHABLISIENNE LAPIERELE CHABLIS 750ML,,,
Lacourte-Godbillon Mont Ames-Migreats Premier Cru (Pinot Noir) - Champagne France,212.3,matched 30828810 but no APN on file,LACOURTE-GODBILLON MONT AMES-MIGREATS PREMIER CRU (PINOT NOIR) - CHAMPAGNE FRANCE 750ML,,,
