Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,STILL RED,9,8,1.09%,PEPPERJACK BAROSSA C/SAV 750ML,794219,9300770003296,TREASURY WINE ESTATES,ALM Warehouse,6,16.76,
,STILL RED,10,5,0.99%,PENFOLDS K/HILL SHIRAZ   750ML,593320,9310297650170,PENFOLDS WINES INTERNATIO,ALM Warehouse,6,11.28,YES
,STILL RED,11,13,0.98%,ELEPHANT IN ROOM P/NOIR  750ML,793441,9344154011507,FOURTH WAVE WINE PARTNERS,ALM Warehouse,6,10.66,
,STILL RED,12,27,0.98%,ST HALLETT FAITH SHIRAZ  750ML,521399,9316920000084,VINARCHY AUSTRALIA,ALM Warehouse,6,10.75,
,STILL RED,13,15,0.91%,TREAD SOFTLY PINOT NOIR  750ML,640973,9344154013730,FOURTH WAVE WINE PARTNERS,ALM Warehouse,6,9.83,
,STILL RED,14,10,0.85%,PENFOLDS K/HILL CAB SAV  750ML,855798,9310297652372,PENFOLDS WINES INTERNATIO,ALM Warehouse,6,11.28,YES
,STILL RED,15,9,0.79%,19 CRIMES SHIRAZ         750ML,524423,9311220005005,TREASURY WINE ESTATES,ALM Warehouse,6,8.55,
,STILL RED,16,16,0.76%,WYNNS SIDING SHIRAZ      750ML,520327,9300620006309,TREASURY WINE ESTATES,ALM Warehouse,6,11.80,
,STILL RED,17,19,0.76%,LITTLE GIANT SHIRAZ      750ML,609011,9344154012474,FOURTH WAVE WINE PARTNERS,ALM Warehouse,6,13.75,
,STILL RED,18,18,0.75%,DEVILS CORNER P/NOIR     750ML,505660,9325814006194,BROWN FAMILY WINE GROUP,ALM Warehouse,6,18.20,
,STILL RED,19,22,0.74%,19 CRIMES CAB SAUV       750ML,834284,9311220004633,TREASURY WINE ESTATES,ALM Warehouse,6,8.55,
,STILL RED,20,23,0.73%,BROWN BRO CIENNA         750ML,753695,0029147100244,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,
,STILL RED,21,24,0.70%,JACOBS CK DBL BAR SHIRAZ 750ML,142271,9311043403149,VINARCHY AUSTRALIA,ALM Warehouse,6,13.66,
,STILL RED,22,20,0.68%,G/BURGE 5TH GEN SHIRAZ   750ML,559509,9315705007928,VINARCHY AUSTRALIA,ALM Warehouse,6,10.35,
,STILL RED,23,28,0.67%,FARM HAND ORG SHIRAZ     750ML,933410,9344154011712,FOURTH WAVE WINE PARTNERS,ALM Warehouse,6,9.50,
,STILL RED,24,11,0.67%,PENFOLDS K/HILL SHZ CAB  750ML,522599,9310297010905,PENFOLDS WINES INTERNATIO,ALM Warehouse,6,11.28,YES
,STILL RED,25,25,0.66%,WYNNS SIDING CAB SAV     750ML,530212,9300620000642,TREASURY WINE ESTATES,ALM Warehouse,6,11.80,YES
,STILL ROSE,1,1,8.49%,SQUEALING PIG ROSE       750ML,480941,9415305436057,TREASURY WINE ESTATES,ALM Warehouse,6,13.24,YES
,STILL ROSE,2,3,6.38%,LA VIEILLE FERME ROSE    750ML,501970,3296180000146,SAMUEL SMITH & SON,ALM Warehouse,12,13.18,YES
,STILL ROSE,3,2,5.68%,DE BORTOLI ROSE ROSE     750ML,770650,9300752050355,DE BORTOLI WINES PTY LIMI,ALM Warehouse,6,13.88,YES
,STILL ROSE,4,5,4.68%,TATACHILLA WHIT ADML ROSE750ML,20542,9313048851819,VINARCHY AUSTRALIA,ALM Warehouse,6,7.34,
,STILL ROSE,5,4,4.59%,UPSIDE DOWN ROSE         750ML,939592,9415305000357,TREASURY WINE ESTATES,ALM Warehouse,6,8.20,YES
,STILL ROSE,6,6,2.84%,TREAD SOFTLY ROSE        750ML,194472,9344154013969,FOURTH WAVE WINE PARTNERS,ALM Warehouse,6,9.83,YES
,STILL ROSE,7,8,2.45%,JACOBS CK LP ROSE        750ML,640994,9311043403484,VINARCHY AUSTRALIA,ALM Warehouse,6,9.69,
,STILL ROSE,8,9,2.45%,OYSTER BAY ROSE          750ML,650567,9415549805602,DELEGAT AUSTRALIA PTY LTD,ALM Warehouse,6,15.42,
,STILL ROSE,9,10,2.30%,PEPPERJACK ROSE 750ML,318911,9300770005368,TREASURY WINE ESTATES,ALM Warehouse,6,16.76,
,STILL ROSE,10,11,2.20%,HARDYS VR ROSE              1L,224065,9311043842160,VINARCHY AUSTRALIA,ALM Warehouse,6,6.91,
,STILL ROSE,11,13,2.09%,BOB HEARTSPLAY ROSE      750ML,300298,,,,,,
,STILL ROSE,12,7,1.97%,DAYS OF ROSE DRY ROSE    750ML,227194,9311043826313,VINARCHY AUSTRALIA,ALM Warehouse,6,13.32,
,STILL ROSE,13,12,1.80%,CHEMIN DES SABLES ROSE   750ML,347402,,,,,,
,STILL ROSE,14,247,1.71%,BONE DRY ROSE           750ML,218873,9352694003210,DEM BONES WINES PTY,ALM Warehouse,6,9.99,
,STILL ROSE,15,14,1.68%,TAYLORS EST ROSE         750ML,707563,9311659001531,TAYLORS WINES PTY LTD,ALM Warehouse,6,13.55,
,STILL ROSE,16,16,1.64%,BONE DRY ROSE            750ML,207084,,,,,,
,STILL ROSE,17,17,1.52%,MUD HOUSE CORE ROSE      750ML,146940,9421018071553,VINARCHY AUSTRALIA,ALM Warehouse,6,11.74,
,STILL ROSE,18,15,1.50%,BIRD IN HAND ROSE        750ML,540623,9325512000210,BOTTLE IN HAND,ALM Warehouse,6,18.21,
,STILL ROSE,19,18,1.32%,MCGUIGAN S/BATCH ROSE    750ML,304124,9310415017434,AUSTRALIAN VINTAGE-DOMEST,ALM Warehouse,6,8.40,
,STILL ROSE,20,314,1.31%,POCO VINO ROSE 187ML,315044,93577229,AUSTRALIAN VINTAGE-DOMEST,ALM Warehouse,12,4.60,
,STILL ROSE,21,19,1.16%,MATEUS ROSE              750ML,546917,5601012011500,OATLEY FINE WINE MERCHANT,ALM Warehouse,6,9.96,
,STILL ROSE,22,20,1.13%,TGALLANT C/SCHANCK ROSE  750ML,663683,9326983000570,TREASURY WINE ESTATES,ALM Warehouse,6,14.96,
,STILL ROSE,23,314,1.07%,THE SHY KIWI H/BAY ROSE  750ML,236033,,,,,,
,STILL ROSE,24,22,0.94%,BELENA ROSE              750ML,593281,9319020011806,CALABRIA FAMILY WINES P/L,ALM Warehouse,6,13.97,
,STILL ROSE,25,25,0.94%,DE BORTOLI S/HIL ROSE    750ML,504541,9300752020310,DE BORTOLI WINES PTY LIMI,ALM Warehouse,12,4.81,
,STILL WHITE,1,1,3.43%,OYSTER BAY SAUV BLANC    750ML,797592,9415549802601,DELEGAT AUSTRALIA PTY LTD,ALM Warehouse,6,15.42,
,STILL WHITE,2,2,2.87%,HARDYS VR SAUV BLANC        1L,539224,9311043090486,VINARCHY AUSTRALIA,ALM Warehouse,6,6.91,
,STILL WHITE,3,3,2.57%,SQUEALING PIG SAUV BLANC 750ML,508744,9415305127092,TREASURY WINE ESTATES,ALM Warehouse,6,13.24,
