Product,Vendor,Status,Filename 01 (front - featured),Filename 02 (back label),Filename 03 (gift box),Shopify handle
Chiappini DOC Bolgheri Rosso Ferruggini,Chiappini,DRAFT,chiappini-doc-bolgheri-rosso-ferruggini-01.jpg,chiappini-doc-bolgheri-rosso-ferruggini-02.jpg,chiappini-doc-bolgheri-rosso-ferruggini-03.jpg,chiappini-doc-bolgheri-rosso-ferruggini
Chrismont La Zona Pinot Grigio,Chrismont,DRAFT,chrismont-la-zona-pinot-grigio-01.jpg,chrismont-la-zona-pinot-grigio-02.jpg,chrismont-la-zona-pinot-grigio-03.jpg,chrismont-la-zona-pinot-grigio
Château Cantemerle Haut-Médoc,Château Cantemerle,DRAFT,chateau-cantemerle-haut-medoc-01.jpg,chateau-cantemerle-haut-medoc-02.jpg,chateau-cantemerle-haut-medoc-03.jpg,chateau-cantemerle-haut-medoc
Château Miraval Rosé,Château Miraval,DRAFT,chateau-miraval-rose-01.jpg,chateau-miraval-rose-02.jpg,chateau-miraval-rose-03.jpg,chateau-miraval-rose
Château d'Esclans Garrus,Château d'Esclans,DRAFT,chateau-d-esclans-garrus-01.jpg,chateau-d-esclans-garrus-02.jpg,chateau-d-esclans-garrus-03.jpg,chateau-d-esclans-garrus
Château d'Esclans Whispering Angel,Château d'Esclans,DRAFT,chateau-d-esclans-whispering-angel-01.jpg,chateau-d-esclans-whispering-angel-02.jpg,chateau-d-esclans-whispering-angel-03.jpg,chateau-d-esclans-whispering-angel
Château de Beaucastel Châteauneuf-du-Pape,Château de Beaucastel,DRAFT,chateau-de-beaucastel-chateauneuf-du-pape-01.jpg,chateau-de-beaucastel-chateauneuf-du-pape-02.jpg,chateau-de-beaucastel-chateauneuf-du-pape-03.jpg,chateau-de-beaucastel-chateauneuf-du-pape
Cirillo 1850 Ancestor Vine Grenache,Cirillo,DRAFT,cirillo-1850-ancestor-vine-grenache-01.jpg,cirillo-1850-ancestor-vine-grenache-02.jpg,cirillo-1850-ancestor-vine-grenache-03.jpg,cirillo-1850-ancestor-vine-grenache
Cloudy Bay Chardonnay,Cloudy Bay,DRAFT,cloudy-bay-chardonnay-01.jpg,cloudy-bay-chardonnay-02.jpg,cloudy-bay-chardonnay-03.jpg,cloudy-bay-chardonnay
Cloudy Bay Pinot Noir,Cloudy Bay,DRAFT,cloudy-bay-pinot-noir-01.jpg,cloudy-bay-pinot-noir-02.jpg,cloudy-bay-pinot-noir-03.jpg,cloudy-bay-pinot-noir
Cloudy Bay Sauvignon Blanc,Cloudy Bay,DRAFT,cloudy-bay-sauvignon-blanc-01.jpg,cloudy-bay-sauvignon-blanc-02.jpg,cloudy-bay-sauvignon-blanc-03.jpg,cloudy-bay-sauvignon-blanc
Cloudy Bay Te Koko,Cloudy Bay,DRAFT,cloudy-bay-te-koko-01.jpg,cloudy-bay-te-koko-02.jpg,cloudy-bay-te-koko-03.jpg,cloudy-bay-te-koko
Cloudy Bay Te Wahi,Cloudy Bay,DRAFT,cloudy-bay-te-wahi-01.jpg,cloudy-bay-te-wahi-02.jpg,cloudy-bay-te-wahi-03.jpg,cloudy-bay-te-wahi
Clover Hill Cuvée Exceptionnelle,Clover Hill,DRAFT,clover-hill-cuvee-exceptionnelle-01.jpg,clover-hill-cuvee-exceptionnelle-02.jpg,clover-hill-cuvee-exceptionnelle-03.jpg,clover-hill-cuvee-exceptionnelle
Col Vetoraz Cartizze,Col Vetoraz,DRAFT,col-vetoraz-cartizze-01.jpg,col-vetoraz-cartizze-02.jpg,col-vetoraz-cartizze-03.jpg,col-vetoraz-cartizze
Collet Art Deco Brut NV,Collet,DRAFT,collet-art-deco-brut-nv-01.jpg,collet-art-deco-brut-nv-02.jpg,collet-art-deco-brut-nv-03.jpg,collet-art-deco-brut-nv
Collet Rose,Collet,DRAFT,collet-rose-01.jpg,collet-rose-02.jpg,collet-rose-03.jpg,collet-rose
Collet Vintage 2014,Collet,DRAFT,collet-vintage-2014-01.jpg,collet-vintage-2014-02.jpg,collet-vintage-2014-03.jpg,collet-vintage-2014
Coriole Merlot,Coriole,DRAFT,coriole-merlot-01.jpg,coriole-merlot-02.jpg,coriole-merlot-03.jpg,coriole-merlot
Craggy Range Te Muna Road Sauvignon Blanc,Craggy Range,DRAFT,craggy-range-te-muna-road-sauvignon-blanc-01.jpg,craggy-range-te-muna-road-sauvignon-blanc-02.jpg,craggy-range-te-muna-road-sauvignon-blanc-03.jpg,craggy-range-te-muna-road-sauvignon-blanc
Crawford River Riesling,Crawford River,DRAFT,crawford-river-riesling-01.jpg,crawford-river-riesling-02.jpg,crawford-river-riesling-03.jpg,crawford-river-riesling
Croser Late Disgorged,Croser,DRAFT,croser-late-disgorged-01.jpg,croser-late-disgorged-02.jpg,croser-late-disgorged-03.jpg,croser-late-disgorged
Cullen Kevin John Chardonnay,Cullen,DRAFT,cullen-kevin-john-chardonnay-01.jpg,cullen-kevin-john-chardonnay-02.jpg,cullen-kevin-john-chardonnay-03.jpg,cullen-kevin-john-chardonnay
Curly Flat Pinot Noir,Curly Flat,DRAFT,curly-flat-pinot-noir-01.jpg,curly-flat-pinot-noir-02.jpg,curly-flat-pinot-noir-03.jpg,curly-flat-pinot-noir
Da Luca Prosecco,Da Luca,ACTIVE,da-luca-prosecco-01.jpg,da-luca-prosecco-02.jpg,da-luca-prosecco-03.jpg,da-luca-prosecco
