file,slot,label,mode,viewport,ratio,state,contrast,intrusion,survival,cropVisible,typeOccluded,scrimCovered,rawDistinguishable,postScrimDistinguishable,scrimLoss,focalStatus
hero-whisky-shelf-b.png,hero,,band,desktop-1920,2.3392,fail,13.84,66.9,6.5,,,,,,,
hero-whisky-shelf-b.png,hero,,band,laptop-1440,2.1053,fail,14.01,66.1,6.6,,,,,,,
hero-whisky-shelf-b.png,hero,,band,small-1024,1.7544,fail,14.49,62.6,6.7,,,,,,,
hero-whisky-shelf-b.png,hero,,band,tablet-768,0.9868,fail,15.13,57.1,8,,,,,,,
hero-whisky-shelf-b.png,hero,,band,phone-390,0.7453,fail,15.39,58.1,8.9,,,,,,,
hero-whisky-shelf-b.png,hero,,glyph,desktop-1920,2.3392,fail,19.49,6,6.5,100,0,89.7,15.5,10.3,5.2,pass
hero-whisky-shelf-b.png,hero,,glyph,laptop-1440,2.1053,fail,19.39,4.8,6.6,100,0,89.7,15.5,10.3,5.2,pass
hero-whisky-shelf-b.png,hero,,glyph,small-1024,1.7544,fail,19.34,8.1,6.7,100,0,89.8,15.2,10.2,5,pass
hero-whisky-shelf-b.png,hero,,glyph,tablet-768,0.9868,fail,16.73,60.8,8,71,0,68.2,11.5,3.9,7.6,fail
hero-whisky-shelf-b.png,hero,,glyph,phone-390,0.7453,fail,17.23,65.5,8.9,0,0,0,0,0,0,fail
hero-whisky-shelf-c.png,hero,,band,desktop-1920,2.3392,fail,12.95,82.7,7,,,,,,,
hero-whisky-shelf-c.png,hero,,band,laptop-1440,2.1053,fail,13.07,82.2,7.1,,,,,,,
hero-whisky-shelf-c.png,hero,,band,small-1024,1.7544,fail,13.55,80.1,7.2,,,,,,,
hero-whisky-shelf-c.png,hero,,band,tablet-768,0.9868,fail,13.73,78,7.9,,,,,,,
hero-whisky-shelf-c.png,hero,,band,phone-390,0.7453,fail,15.02,54.1,9,,,,,,,
hero-whisky-shelf-c.png,hero,,glyph,desktop-1920,2.3392,fail,19.3,10.7,7,100,0,96.3,4.6,3.7,0.9,pass
hero-whisky-shelf-c.png,hero,,glyph,laptop-1440,2.1053,fail,19.11,10.9,7.1,100,0,96.3,4.6,3.7,0.9,pass
hero-whisky-shelf-c.png,hero,,glyph,small-1024,1.7544,fail,18.98,26.7,7.2,100,0,96.3,4.9,3.7,1.2,pass
hero-whisky-shelf-c.png,hero,,glyph,tablet-768,0.9868,fail,14.95,53.7,7.9,50,0,48.4,6,3.1,2.9,fail
hero-whisky-shelf-c.png,hero,,glyph,phone-390,0.7453,fail,15.2,54.7,9,0,0,0,0,0,0,fail
hero-whisky-shelf-d.png,hero,,band,desktop-1920,2.3392,fail,12.79,84.2,8.1,,,,,,,
hero-whisky-shelf-d.png,hero,,band,laptop-1440,2.1053,fail,12.53,85.5,8.2,,,,,,,
hero-whisky-shelf-d.png,hero,,band,small-1024,1.7544,fail,12.5,84,8.1,,,,,,,
hero-whisky-shelf-d.png,hero,,band,tablet-768,0.9868,fail,13.02,80.3,8.7,,,,,,,
hero-whisky-shelf-d.png,hero,,band,phone-390,0.7453,fail,12,85.2,8.9,,,,,,,
hero-whisky-shelf-d.png,hero,,glyph,desktop-1920,2.3392,warn,19.14,13.1,8.1,100,0,94.6,6.7,5.4,1.3,pass
hero-whisky-shelf-d.png,hero,,glyph,laptop-1440,2.1053,warn,19.29,10.4,8.2,100,0,94.6,6.7,5.4,1.3,pass
hero-whisky-shelf-d.png,hero,,glyph,small-1024,1.7544,warn,18.94,17.4,8.1,100,0,94.6,6.7,5.4,1.3,pass
hero-whisky-shelf-d.png,hero,,glyph,tablet-768,0.9868,fail,15.66,58.4,8.7,89.1,0,86.5,3.9,3,0.9,fail
hero-whisky-shelf-d.png,hero,,glyph,phone-390,0.7453,fail,16.25,43.3,8.9,9,0,6.3,43.2,29.6,13.6,fail
